iter	Passed	Remaining
0	136	136661
1	137	68622
2	138	45867
3	138	34506
4	139	27817
5	141	23487
6	142	20194
7	143	17750
8	143	15853
9	144	14321
10	145	13072
11	146	12031
12	146	11151
13	147	10379
14	147	9718
15	148	9130
16	148	8614
17	149	8164
18	150	7761
19	151	7410
20	152	7088
21	152	6791
22	153	6532
23	154	6292
24	156	6091
25	157	5897
26	158	5701
27	158	5512
28	159	5336
29	160	5181
30	161	5036
31	161	4892
32	162	4754
33	162	4626
34	163	4505
35	164	4399
36	165	4298
37	166	4213
38	167	4122
39	168	4040
40	169	3959
41	170	3893
42	171	3827
43	172	3755
44	173	3683
45	174	3615
46	175	3550
47	175	3486
48	176	3422
49	177	3363
50	177	3308
51	178	3253
52	179	3199
53	179	3147
54	180	3096
55	181	3051
56	181	3006
57	182	2965
58	183	2925
59	184	2885
60	184	2847
61	185	2811
62	186	2774
63	187	2737
64	187	2703
65	188	2671
66	190	2646
67	190	2617
68	191	2586
69	193	2570
70	194	2541
71	195	2513
72	195	2486
73	196	2459
74	197	2437
75	198	2411
76	199	2387
77	199	2363
78	200	2341
79	203	2336
80	204	2316
81	205	2298
82	205	2273
83	206	2252
84	207	2233
85	208	2213
86	209	2194
87	209	2173
88	210	2153
89	211	2134
90	211	2114
91	212	2095
92	212	2076
93	213	2058
94	214	2040
95	214	2024
96	215	2008
97	216	1992
98	217	1975
99	217	1959
100	218	1942
101	218	1927
102	219	1912
103	220	1898
104	220	1883
105	221	1868
106	222	1853
107	222	1839
108	223	1825
109	223	1810
110	224	1797
111	224	1783
112	225	1770
113	226	1757
114	226	1745
115	227	1732
116	227	1718
117	228	1706
118	228	1694
119	229	1682
120	230	1672
121	230	1660
122	231	1650
123	231	1638
124	232	1628
125	233	1617
126	233	1605
127	234	1594
128	234	1584
129	235	1574
130	235	1564
131	236	1554
132	237	1545
133	237	1535
134	238	1526
135	239	1518
136	239	1509
137	240	1500
138	240	1491
139	241	1483
140	241	1474
141	242	1464
142	242	1455
143	243	1447
144	244	1438
145	244	1431
146	245	1424
147	246	1417
148	246	1410
149	247	1403
150	248	1395
151	248	1387
152	249	1380
153	249	1373
154	250	1365
155	251	1358
156	251	1352
157	252	1345
158	253	1338
159	253	1331
160	254	1324
161	254	1317
162	255	1311
163	256	1306
164	257	1301
165	258	1296
166	258	1290
167	259	1285
168	260	1282
169	261	1278
170	262	1273
171	263	1268
172	264	1263
173	264	1257
174	265	1252
175	266	1247
176	267	1242
177	267	1236
178	268	1231
179	269	1226
180	269	1221
181	270	1216
182	271	1211
183	272	1206
184	272	1201
185	273	1196
186	274	1192
187	275	1188
188	276	1186
189	277	1184
190	278	1180
191	279	1176
192	280	1171
193	280	1167
194	281	1162
195	282	1157
196	282	1153
197	283	1148
198	284	1144
199	285	1140
200	285	1136
201	286	1132
202	287	1128
203	288	1123
204	288	1119
205	289	1116
206	292	1119
207	293	1116
208	293	1111
209	294	1108
210	295	1104
211	296	1100
212	296	1096
213	297	1092
214	298	1089
215	299	1086
216	299	1082
217	300	1078
218	301	1074
219	302	1071
220	302	1067
221	303	1063
222	304	1059
223	304	1056
224	305	1053
225	306	1049
226	307	1047
227	308	1044
228	309	1041
229	309	1037
230	310	1033
231	311	1030
232	311	1026
233	312	1022
234	313	1019
235	313	1015
236	314	1012
237	314	1008
238	315	1004
239	316	1001
240	316	997
241	317	994
242	318	991
243	318	987
244	319	984
245	320	982
246	321	979
247	322	976
248	323	974
249	323	971
250	324	968
251	325	964
252	325	961
253	326	958
254	327	955
255	328	953
256	328	950
257	330	949
258	331	947
259	331	944
260	332	941
261	333	938
262	333	935
263	334	931
264	334	928
265	335	925
266	336	924
267	338	923
268	338	920
269	339	917
270	340	914
271	340	912
272	341	909
273	342	906
274	342	903
275	343	900
276	343	897
277	344	894
278	344	891
279	345	888
280	346	885
281	346	882
282	347	879
283	347	876
284	348	874
285	348	871
286	349	868
287	350	865
288	351	863
289	351	861
290	352	859
291	353	856
292	353	853
293	354	851
294	355	848
295	355	846
296	356	843
297	356	840
298	357	838
299	358	835
300	359	833
301	359	831
302	360	829
303	361	827
304	362	825
305	362	822
306	363	820
307	364	818
308	364	815
309	365	813
310	366	812
311	367	810
312	368	808
313	368	805
314	369	803
315	370	801
316	370	799
317	371	796
318	372	794
319	372	792
320	373	789
321	373	787
322	374	784
323	375	782
324	375	780
325	376	777
326	376	775
327	377	773
328	378	771
329	378	768
330	379	766
331	379	764
332	380	762
333	381	759
334	381	758
335	382	755
336	383	753
337	383	751
338	384	749
339	385	747
340	385	745
341	386	743
342	386	740
343	387	738
344	387	736
345	388	734
346	389	732
347	389	729
348	390	727
349	390	725
350	391	723
351	391	721
352	392	719
353	392	717
354	395	717
355	395	716
356	396	714
357	397	712
358	398	710
359	398	708
360	399	706
361	399	704
362	400	702
363	401	700
364	401	698
365	402	696
366	402	695
367	403	692
368	404	690
369	404	689
370	405	687
371	405	685
372	406	683
373	407	681
374	407	679
375	408	677
376	408	675
377	409	673
378	409	671
379	410	669
380	411	667
381	411	666
382	412	664
383	413	663
384	413	661
385	414	659
386	415	657
387	415	655
388	416	653
389	416	652
390	417	650
391	418	648
392	418	646
393	419	644
394	419	643
395	420	641
396	421	639
397	421	637
398	422	635
399	422	634
400	423	632
401	423	630
402	424	628
403	425	627
404	425	625
405	426	623
406	426	621
407	427	620
408	428	618
409	428	617
410	429	615
411	430	614
412	430	612
413	431	610
414	431	608
415	432	607
416	433	605
417	433	603
418	434	602
419	434	600
420	435	598
421	436	597
422	436	595
423	437	594
424	437	592
425	438	591
426	439	589
427	439	588
428	440	586
429	441	584
430	441	583
431	442	582
432	443	580
433	446	581
434	446	580
435	447	578
436	448	577
437	448	575
438	449	574
439	450	573
440	450	571
441	451	570
442	452	568
443	453	567
444	454	566
445	455	565
446	455	564
447	456	562
448	457	561
449	458	560
450	459	558
451	459	557
452	460	556
453	461	554
454	461	553
455	462	551
456	463	550
457	463	548
458	464	547
459	465	546
460	466	544
461	466	543
462	467	542
463	467	540
464	468	539
465	469	537
466	470	536
467	470	535
468	471	534
469	472	532
470	473	531
471	474	530
472	475	529
473	475	528
474	476	526
475	477	525
476	477	524
477	478	522
478	479	521
479	480	520
480	480	518
481	481	517
482	482	516
483	482	514
484	483	513
485	484	512
486	485	511
487	486	510
488	487	509
489	488	508
490	489	507
491	490	506
492	491	505
493	491	503
494	492	502
495	493	501
496	494	500
497	494	498
498	495	497
499	495	495
500	496	494
501	497	493
502	497	491
503	498	490
504	499	489
505	499	487
506	500	486
507	500	485
508	501	483
509	502	482
510	502	481
511	503	480
512	504	479
513	505	477
514	506	476
515	506	475
516	507	474
517	508	472
518	508	471
519	509	470
520	509	468
521	510	467
522	511	466
523	511	464
524	512	463
525	512	462
526	513	460
527	513	459
528	514	458
529	515	456
530	515	455
531	516	454
532	516	452
533	517	451
534	518	450
535	518	449
536	519	448
537	520	446
538	520	445
539	521	444
540	521	442
541	522	441
542	523	440
543	523	439
544	524	437
545	524	436
546	525	435
547	526	433
548	526	432
549	527	431
550	527	430
551	528	428
552	529	427
553	529	426
554	530	425
555	530	423
556	531	422
557	532	421
558	532	420
559	533	419
560	534	418
561	535	417
562	535	415
563	536	414
564	537	413
565	537	412
566	538	411
567	539	410
568	540	409
569	540	407
570	541	406
571	542	405
572	543	404
573	543	403
574	544	402
575	545	401
576	546	400
577	547	399
578	547	398
579	548	397
580	549	396
581	550	395
582	551	394
583	552	393
584	552	392
585	553	390
586	553	389
587	554	388
588	555	387
589	555	386
590	556	385
591	557	383
592	557	382
593	558	381
594	558	380
595	559	379
596	560	378
597	560	376
598	561	375
599	561	374
600	562	373
601	562	372
602	563	371
603	564	370
604	565	369
605	566	368
606	567	367
607	568	366
608	569	365
609	569	364
610	570	363
611	571	362
612	572	361
613	573	360
614	573	359
615	574	358
616	575	357
617	575	355
618	576	354
619	577	353
620	577	352
621	578	351
622	579	350
623	580	349
624	581	348
625	581	347
626	582	346
627	583	345
628	584	344
629	584	343
630	585	342
631	585	341
632	586	340
633	587	339
634	587	337
635	588	336
636	589	335
637	589	334
638	590	333
639	591	332
640	591	331
641	592	330
642	592	329
643	593	328
644	594	327
645	595	326
646	596	325
647	596	324
648	597	323
649	598	322
650	598	321
651	599	319
652	600	318
653	600	317
654	601	316
655	602	315
656	602	314
657	603	313
658	603	312
659	604	311
660	605	310
661	605	309
662	606	308
663	606	307
664	607	306
665	608	304
666	608	303
667	609	302
668	610	301
669	610	300
670	611	299
671	612	298
672	612	297
673	613	296
674	614	295
675	614	294
676	615	293
677	615	292
678	616	291
679	616	290
680	617	289
681	618	288
682	618	287
683	619	286
684	619	285
685	620	284
686	621	283
687	621	281
688	622	280
689	622	279
690	623	278
691	624	277
692	624	276
693	625	275
694	626	274
695	627	273
696	627	272
697	628	271
698	629	270
699	630	270
700	630	269
701	631	268
702	632	267
703	633	266
704	634	265
705	634	264
706	635	263
707	636	262
708	637	261
709	638	260
710	638	259
711	639	258
712	640	257
713	641	256
714	642	255
715	642	254
716	643	253
717	644	252
718	644	251
719	645	250
720	645	249
721	646	248
722	647	247
723	647	246
724	648	245
725	649	244
726	649	243
727	650	242
728	650	241
729	651	240
730	652	239
731	652	238
732	653	237
733	653	236
734	654	235
735	655	234
736	655	234
737	656	233
738	657	232
739	658	231
740	658	230
741	659	229
742	659	228
743	660	227
744	661	226
745	661	225
746	662	224
747	662	223
748	663	222
749	664	221
750	664	220
751	665	219
752	665	218
753	666	217
754	666	216
755	667	215
756	667	214
757	668	213
758	669	212
759	669	211
760	670	210
761	671	209
762	672	208
763	672	207
764	673	206
765	673	205
766	674	204
767	675	203
768	675	202
769	676	201
770	676	201
771	677	200
772	677	199
773	678	198
774	679	197
775	679	196
776	680	195
777	680	194
778	681	193
779	682	192
780	682	191
781	683	190
782	683	189
783	684	188
784	685	187
785	686	186
786	686	185
787	687	185
788	688	184
789	689	183
790	689	182
791	690	181
792	691	180
793	691	179
794	692	178
795	692	177
796	693	176
797	694	175
798	694	174
799	695	173
800	696	172
801	696	172
802	697	171
803	698	170
804	698	169
805	699	168
806	700	167
807	700	166
808	701	165
809	702	164
810	703	163
811	704	162
812	704	162
813	705	161
814	705	160
815	706	159
816	707	158
817	707	157
818	708	156
819	708	155
820	709	154
821	709	153
822	710	152
823	711	151
824	711	150
825	712	150
826	712	149
827	713	148
828	714	147
829	714	146
830	715	145
831	715	144
832	716	143
833	717	142
834	718	141
835	718	140
836	719	140
837	719	139
838	720	138
839	721	137
840	721	136
841	722	135
842	722	134
843	723	133
844	723	132
845	724	131
846	725	130
847	725	130
848	726	129
849	726	128
850	727	127
851	728	126
852	729	125
853	729	124
854	730	123
855	730	122
856	731	122
857	732	121
858	732	120
859	733	119
860	734	118
861	734	117
862	735	116
863	736	115
864	737	115
865	738	114
866	739	113
867	740	112
868	741	111
869	741	110
870	742	110
871	743	109
872	744	108
873	744	107
874	745	106
875	746	105
876	747	104
877	748	104
878	749	103
879	749	102
880	750	101
881	751	100
882	751	99
883	752	98
884	753	97
885	753	97
886	754	96
887	755	95
888	755	94
889	756	93
890	757	92
891	757	91
892	758	90
893	758	89
894	759	89
895	760	88
896	760	87
897	761	86
898	762	85
899	763	84
900	763	83
901	764	83
902	764	82
903	765	81
904	766	80
905	766	79
906	767	78
907	768	77
908	768	76
909	769	76
910	770	75
911	770	74
912	771	73
913	771	72
914	772	71
915	773	70
916	773	70
917	774	69
918	774	68
919	776	67
920	776	66
921	777	65
922	778	64
923	779	64
924	779	63
925	780	62
926	780	61
927	781	60
928	782	59
929	782	58
930	783	58
931	784	57
932	784	56
933	785	55
934	785	54
935	786	53
936	786	52
937	787	52
938	788	51
939	788	50
940	789	49
941	790	48
942	790	47
943	791	46
944	792	46
945	792	45
946	793	44
947	794	43
948	794	42
949	795	41
950	795	41
951	796	40
952	797	39
953	797	38
954	798	37
955	798	36
956	799	35
957	800	35
958	800	34
959	801	33
960	801	32
961	802	31
962	803	30
963	803	30
964	804	29
965	805	28
966	806	27
967	806	26
968	807	25
969	808	24
970	808	24
971	809	23
972	809	22
973	810	21
974	811	20
975	811	19
976	812	19
977	812	18
978	813	17
979	814	16
980	814	15
981	815	14
982	815	14
983	816	13
984	817	12
985	817	11
986	818	10
987	819	9
988	819	9
989	820	8
990	821	7
991	822	6
992	823	5
993	823	4
994	824	4
995	825	3
996	826	2
997	826	1
998	827	0
999	828	0
